GUID,Cell Reference,CellValue_English,CellFormula_English,CellValue_Afrikaans,CellFormula_Afrikaans
EAC9B2FB,'[IFRS+ Financials.xlsx]Directors'!$D$24,The company generated no profit or loss after tax for the year ended 28 February 2025 (2024: R0).,"'=""The ""&GroupEntityCase&"" generated ""&IFERROR(IF(TotalIncomeFinal=0,""no ""&PSLower&"" or ""&LDLower,""a ""&IF(MIN(TotalIncomeFinal,TotalIncomePrior1)>=0,PSLower,IF(MAX(TotalIncomeFinal,TotalIncomePrior1)<=0,LDLower,IF(TotalIncomeFinal>0,PSLower,LDLower)))),PSLower&"" / (""&LDLower&"")"")&"" after tax for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc&IF(TotalIncomeFinal=0,"""","" of ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalIncomeFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0"")))&IF(YearsToReportOn<=1,"""","" (""&Prior1YearEndDate_Calc2&"": ""&IFERROR(IF(MIN(TotalIncomeFinal,TotalIncomePrior1)>=0,"""",IF(MAX(TotalIncomeFinal,TotalIncomePrior1)<=0,"""",IF(TotalIncomePrior1>0,PSLower,LDLower)&"" of "")),PSLower&"" / (""&LDLower&"")"")&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalIncomePrior1),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"")"")&"".""",Die maatskappy het geen wins of verlies na belasting vir die jaar geëindig 28 Februarie 2025 gegenereer nie (2024: R0).,"'=""Die ""&GroupEntityCase&"" het ""&IFERROR(IF(TotalIncomeFinal=0,""geen ""&PSLower&"" of ""&LDLower,""'n ""&IF(MIN(TotalIncomeFinal,TotalIncomePrior1)>=0,PSLower,IF(MAX(TotalIncomeFinal,TotalIncomePrior1)<=0,LDLower,IF(TotalIncomeFinal>0,PSLower,LDLower)))),PSLower&"" / (""&LDLower&"")"")&"" na belasting vir die ""&Year_Monthperiod&"" geëindig ""&YearEndDate_Calc&IF(TotalIncomeFinal=0,"""","" van ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalIncomeFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0"")))&IF(YearsToReportOn<=1,"""","" (""&Prior1YearEndDate_Calc2&"": ""&IFERROR(IF(MIN(TotalIncomeFinal,TotalIncomePrior1)>=0,"""",IF(MAX(TotalIncomeFinal,TotalIncomePrior1)<=0,"""",IF(TotalIncomePrior1>0,PSLower,LDLower)&"" van "")),PSLower&"" / (""&LDLower&"")"")&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalIncomePrior1),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"")"")&""."""
3D4EC4E7,'[IFRS+ Financials.xlsx]Directors'!$D$26,The company's revenue did not increase/(decrease) and remained R0 for the year ended 28 February 2025.,"'=""The ""&GroupEntityCaseAp&"" revenue ""&IF(YearsToReportOn<=1,""amounted to"",IF(-SUMIF(TBLink,""i.???.???"",Final)=-SUMIF(TBLink,""i.???.???"",Prior1),""did not increase/(decrease) and remained"",IF(-SUMIF(TBLink,""i.???.???"",Final)+1>-SUMIF(TBLink,""i.???.???"",Prior1),""increased"",""decreased"")&"" from ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(SUMIF(TBLink,""i.???.???"",Prior1)),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" in the ""&Prior1_Year_Monthperiod&"" to""))&"" ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(SUMIF(TBLink,""i.???.???"",Final)),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc&"".""",Die maatskappy se inkomste het nie toegeneem of afgeneem nie en het op R0 gebly vir die jaar geëindig 28 Februarie 2025.,"'=""Die ""&GroupEntityCaseAp&"" inkomste het ""&IF(YearsToReportOn<=1,""beloop"",IF(-SUMIF(TBLink,""i.???.???"",Final)=-SUMIF(TBLink,""i.???.???"",Prior1),""nie toegeneem of afgeneem nie en het op"",IF(-SUMIF(TBLink,""i.???.???"",Final)+1>-SUMIF(TBLink,""i.???.???"",Prior1),""toegeneem"",""afgeneem"")&"" van ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(SUMIF(TBLink,""i.???.???"",Prior1)),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" in die ""&Prior1_Year_Monthperiod&"" tot""))&"" ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(SUMIF(TBLink,""i.???.???"",Final)),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" vir die jaar geëindig ""&YearEndDate_Calc&""."""
8F6781BB,'[IFRS+ Financials.xlsx]Directors'!$D$28,The company had no cash flows from operating activities for the year ended 28 February 2025.,"'=IF(AND(NetCashFlowsUsedInOpActFirstColumn=0,NetCashFlowsUsedInOpActPrior1=0),""The ""&GroupEntityCase&"" had no cash flows from operating activities for the "",""The ""&GroupEntityCaseAp&"" cash flows from operating activities ""&IF(YearsToReportOn<=1,""amounted"",""changed from ""&IF(NetCashFlowsUsedInOpActPrior1=0,""a net flow of ""&CurrencySymbolRoundingBrackets&""0"",""an ""&IF(NetCashFlowsUsedInOpActPrior1>=0,""inflow"",""outflow"")&"" of ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(NetCashFlowsUsedInOpActPrior1),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0"")))&"" in the ""&Prior1_Year_Monthperiod)&IF(NetCashFlowsUsedInOpActFirstColumn=0,"" to a net flow of ""&CurrencySymbolRoundingBrackets&""0"","" to an ""&IF(NetCashFlowsUsedInOpActFirstColumn>=0,""inflow"",""outflow"")&"" of ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(NetCashFlowsUsedInOpActFirstColumn),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0"")))&"" for the "")&Year_Monthperiod&"" ended ""&YearEndDate_Calc&"".""",Die maatskappy het geen kontantvloei uit bedryfsaktiwiteite gehad vir die jaar geëindig 28 Februarie 2025 nie.,"'=IF(AND(NetCashFlowsUsedInOpActFirstColumn=0,NetCashFlowsUsedInOpActPrior1=0),""Die ""&GroupEntityCase&"" het geen kontantvloei uit bedryfsaktiwiteite gehad vir die "",""Die ""&GroupEntityCaseAp&"" kontantvloei uit bedryfsaktiwiteite het ""&IF(YearsToReportOn<=1,""bedrag beloop"",""verander van ""&IF(NetCashFlowsUsedInOpActPrior1=0,""’n netto vloei van ""&CurrencySymbolRoundingBrackets&""0"",""’n ""&IF(NetCashFlowsUsedInOpActPrior1>=0,""invloei"",""uitvloei"")&"" van ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(NetCashFlowsUsedInOpActPrior1),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0"")))&"" in die ""&Prior1_Year_Monthperiod)&IF(NetCashFlowsUsedInOpActFirstColumn=0,"" tot ’n netto vloei van ""&CurrencySymbolRoundingBrackets&""0"","" tot ’n ""&IF(NetCashFlowsUsedInOpActFirstColumn>=0,""invloei"",""uitvloei"")&"" van ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(NetCashFlowsUsedInOpActFirstColumn),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0"")))&"" vir die "")&Year_Monthperiod&"" geëindig ""&YearEndDate_Calc&""."""
E74E178B,'[IFRS+ Financials.xlsx]Directors'!$D$30,Going concern,,Voortgesette besigheid,"'""Voortgesette besigheid"""
9C6DE8FE,'[IFRS+ Financials.xlsx]Directors'!$D$32,Financial Reporting Considerations Related to the Russia-Ukraine War,,Finansiële verslagdoeningsaanduidings rakende die Rusland-Oekraïne-oorlog,"'""Finansiële verslagdoeningsaanduidings rakende die Rusland-Oekraïne-oorlog"""
AEBCEB3B,'[IFRS+ Financials.xlsx]Directors'!$D$33,"The geopolitical situation in Eastern Europe intensified on 24 February 2022, with Russia’s invasion of Ukraine. The war between the two countries continues to evolve as military activity proceeds and additional sanctions are imposed. In addition to the human toll and impact of the events on entities that have operations in Russia, Ukraine, or neighbouring countries or that conduct business with their counterparties, the war is increasingly affecting economic and global financial markets and exacerbating ongoing economic challenges, including issues such as rising inflation and global supply-chain disruption.",,"Die geopolitieke situasie in Oos-Europa het op 24 Februarie 2022 verskerp met Rusland se inval in Oekraïne. Die oorlog tussen die twee lande ontwikkel voortdurend namate militêre aktiwiteite voortduur en bykomende sanksies ingestel word. Benewens die menslike verliese en die impak van die gebeure op entiteite met bedrywighede in Rusland, Oekraïne of aangrensende lande, of wat sake doen met hul teenpartye daar, beïnvloed die oorlog die ekonomiese en wêreldwye finansiële markte toenemend en vererger dit bestaande ekonomiese uitdagings, insluitend kwessies soos stygende inflasie en ontwrigting van wêreldwye voorsieningskettings.","'=""Die geopolitieke situasie in Oos-Europa het op 24 Februarie 2022 verskerp met Rusland se inval in Oekraïne. Die oorlog tussen die twee lande ontwikkel voortdurend namate militêre aktiwiteite voortduur en bykomende sanksies ingestel word. Benewens die menslike verliese en die impak van die gebeure op entiteite met bedrywighede in Rusland, Oekraïne of aangrensende lande, of wat sake doen met hul teenpartye daar, beïnvloed die oorlog die ekonomiese en wêreldwye finansiële markte toenemend en vererger dit bestaande ekonomiese uitdagings, insluitend kwessies soos stygende inflasie en ontwrigting van wêreldwye voorsieningskettings."""
A3DF1F8D,'[IFRS+ Financials.xlsx]Directors'!$D$35,The director has considered the direct and indirect exposures to the impacts of the war and the resulting financial accounting and reporting implications on IFRS+AFRIKAANS as part of their going concern assessment. This assessment has not raised any concerns regarding the going concern assumption and the director believes that there is no need for any adjustments to the Financial Statements as a result of these events.,"'=""The ""&LOWER(Director_board)&Director_has_have&"" considered the direct and indirect exposures to the impacts of the war and the resulting financial accounting and reporting implications on ""&CompanyName&"" as part of ""&DGender_their&"" going concern assessment. This assessment has not raised any concerns regarding the going concern assumption and the ""&LOWER(Director_board)&Director_believe_s&"" that there is no need for any adjustments to the ""&AFS_Name_Annual&"" as a result of these events.""",Die direkteur het die direkte en indirekte blootstelling aan die impakte van die oorlog en die gevolglike finansiële rekeningkundige en verslagdoeningsimplikasies op IFRS+AFRIKAANS oorweeg as deel van hul voortgesette saaklikeheidsbeoordeling. Hierdie beoordeling het geen kommer oor die voortgesette saaklikheidsaannames geopper nie en die direkteur glo dat daar geen behoefte is vir enige aanpassings aan die Finansiële State as gevolg van hierdie gebeure nie.,"'=""Die ""&LOWER(Director_board)&Director_has_have&"" die direkte en indirekte blootstelling aan die impakte van die oorlog en die gevolglike finansiële rekeningkundige en verslagdoeningsimplikasies op ""&CompanyName&"" oorweeg as deel van hul voortgesette saaklikeheidsbeoordeling. Hierdie beoordeling het geen kommer oor die voortgesette saaklikheidsaannames geopper nie en die ""&LOWER(Director_board)&Director_believe_s&"" dat daar geen behoefte is vir enige aanpassings aan die ""&AFS_Name_Annual&"" as gevolg van hierdie gebeure nie."""
F4214BEC,'[IFRS+ Financials.xlsx]Directors'!$D$37,The director has considered the direct and indirect exposures to the impacts of the war and the resulting financial accounting and reporting implications on IFRS+AFRIKAANS as part of their going concern assessment. This assessment has not raised any concerns regarding the going concern assumption and the Financial Statements have been adjusted where necessary as a result of these events.,"'=""The ""&LOWER(Director_board)&Director_has_have&"" considered the direct and indirect exposures to the impacts of the war and the resulting financial accounting and reporting implications on ""&CompanyName&"" as part of ""&DGender_their&"" going concern assessment. This assessment has not raised any concerns regarding the going concern assumption and the ""&AFS_Name_Annual&"" have been adjusted where necessary as a result of these events.""","Die direkteur het die direkte en indirekte blootstellings aan die impak van die oorlog, asook die gevolglike finansiële rekeningkundige en verslagdoeningsimplikasies op IFRS+AFRIKAANS, oorweeg as deel van hul voortgesette ondernemingsvermoë-assessering. Hierdie assessering het geen kommer oor die aanname van voortgesette ondernemingsvermoë laat ontstaan nie, en die Finansiële State is waar nodig aangepas as gevolg van hierdie gebeure.","'=""Die ""&LOWER(Director_board)&Director_has_have&"" het die direkte en indirekte blootstellings aan die impak van die oorlog, asook die gevolglike finansiële rekeningkundige en verslagdoeningsimplikasies op ""&CompanyName&"", oorweeg as deel van hul voortgesette ondernemingsvermoë-assessering. Hierdie assessering het geen kommer oor die aanname van voortgesette ondernemingsvermoë laat ontstaan nie, en die ""&AFS_Name_Annual&"" is waar nodig aangepas as gevolg van hierdie gebeure."""
9C6765BB,'[IFRS+ Financials.xlsx]Directors'!$D$39,Additional details as required,,Bykomende besonderhede soos vereis,"'""Bykomende besonderhede soos vereis"""
AC715A53,'[IFRS+ Financials.xlsx]Directors'!$D$41,Additional details as required,,Bykomende besonderhede soos vereis,"'""Bykomende besonderhede soos vereis"""
B0EF0F54,'[IFRS+ Financials.xlsx]Directors'!$D$43,"Various paragraphs are provided below. Please ensure that a valid selections is made for inclusion. If none are suitable, please add  your own paragraphs.",,"Verskeie paragrawe word hieronder verskaf. Maak asseblief seker dat ’n geldige keuse gemaak word vir insluiting. Indien geen van hulle geskik is nie, voeg asseblief u eie paragrawe by.","'=""Verskeie paragrawe word hieronder verskaf. Maak asseblief seker dat ’n geldige keuse gemaak word vir insluiting. Indien geen van hulle geskik is nie, voeg asseblief u eie paragrawe by."""
4D36D39C,'[IFRS+ Financials.xlsx]Directors'!$D$44,"The annual financial statements have been prepared on the basis of accounting policies applicable to a going concern. This basis presumes that funds will be available to finance future operations and that the realisation of assets and settlement of liabilities, contingent obligations and commitments will occur in the ordinary course of business.","'=""The ""&LOWER(AFS_Name)&"" have been prepared on the basis of accounting policies applicable to a going concern. This basis presumes that funds will ""&""be available to finance future operations and that the realisation of assets and settlement of liabilities, contingent obligations and commitments will occur in the ordinary course of business.""","Die jaarlikse finansiële state is opgestel op grond van rekeningkundige beleid wat van toepassing is op ’n lopende saak. Hierdie grondslag veronderstel dat fondse beskikbaar sal wees om toekomstige bedrywighede te finansier en dat die realisering van bates en die vereffening van verpligtinge, voorwaardelike verpligtinge en verbintenisse in die gewone verloop van besigheid sal plaasvind.","'=""Die ""&LOWER(AFS_Name)&"" is opgestel op grond van rekeningkundige beleid wat van toepassing is op ’n lopende saak. Hierdie grondslag veronderstel dat fondse beskikbaar sal wees om toekomstige bedrywighede te finansier en dat die realisering van bates en die vereffening van verpligtinge, voorwaardelike verpligtinge en verbintenisse in die gewone verloop van besigheid sal plaasvind."""
A1D3B37C,'[IFRS+ Financials.xlsx]Directors'!$D$46,"The company's financial statements have been prepared on the going concern basis. The Director having performed a review of the company's ability to continue as a going concern in the foreseeable future and therefore, based on this review, considers the preparation of the financial statements on this basis to be appropriate.","'=""The ""&GroupEntityCaseAp&"" ""&LOWER(AFS_Name_Annual)&"" have been prepared on the going concern basis. The ""&Director_board&"" having performed a review of the ""&GroupEntityCaseAp&"" ability to continue as a going concern in the foreseeable future and therefore, based on this review, considers the preparation of the ""&LOWER(AFS_Name_Annual)&"" on this basis to be appropriate.""","Die maatskappy se finansiële state is op die voortgesette ondernemingsgrondslag opgestel. Die Direkteur het ’n hersiening gedoen van die maatskappy se vermoë om in die afsienbare toekoms as ’n lopende saak voort te gaan en beskou daarom, gebaseer op hierdie hersiening, die opstel van die finansiële state op hierdie grondslag as gepas.","'=""Die ""&GroupEntityCaseAp&"" se finansiële state is op die voortgesette ondernemingsgrondslag opgestel. Die ""&Director_board&"" het ’n hersiening gedoen van die ""&GroupEntityCaseAp&"" se vermoë om in die afsienbare toekoms as ’n lopende saak voort te gaan en beskou daarom, gebaseer op hierdie hersiening, die opstel van die ""&LOWER(AFS_Name_Annual)&"" op hierdie grondslag as gepas."""
E666479E,'[IFRS+ Financials.xlsx]Directors'!$D$48,"The company's financial statements have been prepared on the going concern basis, since the Director has every reason to believe that the company has adequate resources in place to continue in operation for the foreseeable future, based on forecasts and available cash resources.","'=""The ""&GroupEntityCaseAp&"" ""&LOWER(AFS_Name_Annual)&"" have been prepared on the going concern basis, since the ""&Director_board&Director_has_have&"" every reason to believe that the ""&GroupEntityCase&"" has adequate resources in place to continue in operation for the foreseeable future, based on forecasts and available cash resources.""","Die maatskappy se finansiële state is op die voortgesette bedryfsgrondslag opgestel, aangesien die Direkteur alle rede het om te glo dat die maatskappy oor voldoende hulpbronne beskik om die bedrywighede in die afsienbare toekoms voort te sit, gebaseer op voorspellings en beskikbare kontantbronne.","'=""Die ""&GroupEntityCaseAp&"" se finansiële state is op die voortgesette bedryfsgrondslag opgestel, aangesien die ""&Director_board&Director_has_have&"" alle rede het om te glo dat die ""&GroupEntityCase&"" oor voldoende hulpbronne beskik om die bedrywighede in die afsienbare toekoms voort te sit, gebaseer op voorspellings en beskikbare kontantbronne."""
8E62E3E3,'[IFRS+ Financials.xlsx]Directors'!$D$50,The director believes that the company has adequate financial resources to continue in operation for the foreseeable future and accordingly the annual financial statements have been prepared on a going concern basis.,"'=""The ""&LOWER(Director_board)&Director_believe_s&"" that the ""&EntityDescriptionCase&AndGroup&Entity_have_has&"" adequate financial resources to continue in operation for the foreseeable future and accordingly the ""&LOWER(AFS_Name)&"" have been prepared on a going concern basis.""",Die direkteur is van mening dat die maatskappy oor voldoende finansiële hulpbronne beskik om vir die afsienbare toekoms voort te gaan met bedrywighede en gevolglik is die jaarlikse finansiële state op ‘n voortgesette basis opgestel.,"'=""Die ""&LOWER(Director_board)&Director_believe_s&"" dat die ""&EntityDescriptionCase&AndGroup&Entity_have_has&"" voldoende finansiële hulpbronne beskik om vir die afsienbare toekoms voort te gaan met bedrywighede en gevolglik is die ""&LOWER(AFS_Name)&"" op ‘n voortgesette basis opgestel."""
2AF6DBFF,'[IFRS+ Financials.xlsx]Directors'!$D$52,The director has satisfied themself that the company is in a sound financial position and that it has access to sufficient borrowing facilities to meet its foreseeable cash requirements.,"'=""The ""&LOWER(Director_board)&Director_has_have&"" satisfied""&DGender_itself_themselves&"" that the ""&EntityDescriptionCase&AndGroup&Entity_are_is&"" in a sound financial position and that it has access to sufficient borrowing facilities to meet its foreseeable cash requirements.""",Die direkteur het hulself vergewis daarvan dat die maatskappy in ’n gesonde finansiële posisie is en dat dit toegang het tot voldoende leningsfasiliteite om aan sy voorsienbare kontantbehoeftes te voldoen.,"'=""Die ""&LOWER(Director_board)&Director_has_have&"" hulself vergewis daarvan dat die ""&EntityDescriptionCase&AndGroup&Entity_are_is&"" in ’n gesonde finansiële posisie is en dat dit toegang het tot voldoende leningsfasiliteite om aan sy voorsienbare kontantbehoeftes te voldoen."""
6C4349A4,'[IFRS+ Financials.xlsx]Directors'!$D$54,"The going-concern criterion has been adopted in preparing the financial statements. Based on current plans and various initiatives to improve cash flow, the company will be able to continue as a going concern.","'=""The going-concern criterion has been adopted in preparing the ""&LOWER(AFS_Name_Annual)&"". Based on current plans and various initiatives to improve cash flow, the ""&GroupEntityCase&"" will be able to continue as a going concern.""","Die voortgesette ondernemingsbeginsel is by die opstel van die finansiële state toegepas. Gebaseer op huidige planne en verskeie inisiatiewe om die kontantvloei te verbeter, sal die maatskappy in staat wees om as ‘n lopende saak voort te gaan.","'=""Die voortgesette ondernemingsbeginsel is by die opstel van die ""&LOWER(AFS_Name_Annual)&"" toegepas. Gebaseer op huidige planne en verskeie inisiatiewe om die kontantvloei te verbeter, sal die ""&GroupEntityCase&"" in staat wees om as ‘n lopende saak voort te gaan."""
E284F670,'[IFRS+ Financials.xlsx]Directors'!$D$56,"Based on the going concern assessment detailed in note XXXXX of the financial statements, the Director is of the view that the company has adequate resources to continue in operation for the foreseeable future and accordingly, the financial statements have been prepared on a going concern basis.","'=""Based on the going concern assessment detailed in note XXXXX of the ""&LOWER(AFS_Name_Annual)&"", the ""&Director_board&"" is of the view that the ""&GroupEntityCase&"" has adequate resources to continue in operation for the foreseeable future and accordingly, the ""&LOWER(AFS_Name_Annual)&"" have been prepared on a going concern basis.""","Gebaseer op die voortgesette besigheidsaannames soos uiteengesit in nota XXXXX van die finansiële state, is die Direkteur van mening dat die maatskappy oor voldoende hulpbronne beskik om vir die afsienbare toekoms bedrywighede voort te sit en dienooreenkomstig is die finansiële state op ’n voortgesette-besigheidsgrondslag opgestel.","'=""Gebaseer op die voortgesette besigheidsaannames soos uiteengesit in nota XXXXX van die ""&LOWER(AFS_Name_Annual)&"", is die ""&Director_board&"" van mening dat die ""&GroupEntityCase&"" oor voldoende hulpbronne beskik om vir die afsienbare toekoms bedrywighede voort te sit en dienooreenkomstig is die ""&LOWER(AFS_Name_Annual)&"" op ’n voortgesette-besigheidsgrondslag opgestel."""
8EB9D15D,'[IFRS+ Financials.xlsx]Directors'!$D$58,"After making enquiries, the Director has a reasonable expectation that the company has adequate resources to continue in operational existence for the foreseeable future. The company therefore continues to adopt the going concern basis in preparing the financial statements.","'=""After making enquiries, the ""&Director_board&Director_has_have&"" a reasonable expectation that the ""&GroupEntityCase&"" has adequate resources to continue in operational existence for the foreseeable future. The ""&GroupEntityCase&"" therefore continues to adopt the going concern basis in preparing the ""&LOWER(AFS_Name_Annual)&"".""",Na deeglike navrae het die Direkteur ’n redelike verwagting dat die maatskappy oor voldoende hulpbronne beskik om vir die afsienbare toekoms voort te gaan met bedrywighede. Die maatskappy handhaaf dus die voortgesette bedryfsbasis by die opstel van die finansiële state.,"'=""Na deeglike navrae het die ""&Director_board&Director_has_have&"" ’n redelike verwagting dat die ""&GroupEntityCase&"" oor voldoende hulpbronne beskik om vir die afsienbare toekoms voort te gaan met bedrywighede. Die ""&GroupEntityCase&"" handhaaf dus die voortgesette bedryfsbasis by die opstel van die ""&LOWER(AFS_Name_Annual)&""."""
0DC4AC93,'[IFRS+ Financials.xlsx]Directors'!$D$60,"IMPACT OF COVID-19
Please edit and include as required","'=""IMPACT OF COVID-19""&CHAR(10)&""Please edit and include as required""","IMPAK VAN COVID-19
Maak asseblief wysigings en voeg in soos benodig","'=""IMPAK VAN COVID-19""&CHAR(10)&""Maak asseblief wysigings en voeg in soos benodig"""
D8C8D819,'[IFRS+ Financials.xlsx]Directors'!$D$62,Source BJP Chartered Accountants,,Bron BJP Geoktrooieerde Rekenmeesters,"'""Bron BJP Geoktrooieerde Rekenmeesters""'"
