"Loans to directors, managers and employees assets","Lenings aan direkteure, bestuurders en werknemers se bates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans to/(from) directors, managers and employees","Lenings aan/(vanaf) direkteure, bestuurders en werknemers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non current non-cash assets pledged as collateral,Nie-lopendede nie-kasbates wat as versekering belê is.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Recipes, formulae, models, designs and prototypes","Recepte, formules, modelle, ontwerpe en prototipes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction contract expected losses recognised,Boukontrak verwagte verliese erken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain/loss on exchange differences on translation,Wins/verlies op ruilverskille met vertaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans to directors, managers and employees asset","Lenings aan direkteure, bestuurders en werknemers se bates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans to directors, managers and employees liabi","Lenings aan direkteure, bestuurders en werknemers aanspreeklikheid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reclassification adjustments on cash flow hedges,Herklassifikasie-aanpassings op kontantvloeihekkies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Originating and reversing temporary differences,Ontstaan en omkeer van tydelike verskille.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer software (consider intangible assets),Rekenaartoepassingsagteware (oorweeg ontasbare bates),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contracts held for dealing or trading purposes,Kontrakte wat aangehou word vir handels- of handelsdoeleindes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discontinued operation (excl gains and losses),gestaak operasie (uitgesluit wins en verliese),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discontinued operation (excl gains and losses),Gestaakde bedrywighede (uitgesluit wins en verliese),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discontinued operation (only gains and losses),afgebreekte operasie (slegs wins en verliese),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discontinued operation (only gains and losses),Gestaakde operasie (slegs wins en verliese),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity accounted investments in Joint ventures,Gelykheidsgerekenariseerde beleggings in gesamentlike ondernemings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative goodwill on acquisition of subsidiary,Negatiewe welwillendheid by die verkryging van 'n filiaal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating lease obligation -Cur portion of LTL,Bedryfsleaseverpligting - Huidige gedeelte van langtermynlenings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other work performed by entity and capitalised,Ander werk uitgevoer deur die entiteit en gekapitaliseer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendering of services Type 1- discount allowed,Lewering van dienste Tipe 1 - afslag toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendering of services Type 2- discount allowed,Lewering van dienste Tipe 2- afslag toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendering of services Type 3- discount allowed,Diensteverskaffing Tipe 3 - korting toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendering of services Type 4- discount allowed,Lewering van dienste Tipe 4 - afslag toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendering of services Type 5- discount allowed,Verskaffing van dienste Tipe 5 - afslag toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resulting from a change in accounting policies,As gevolg van 'n verandering in rekeningkundige beleid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale of goods Type 1- farming discount allowed,Verkoop van goedere Tipe 1 - boerdery-afslag toegelaat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale of goods Type 2- farming discount allowed,Verkoping van goedere Tipe 2 - boerdery afslag toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale of goods Type 3- farming discount allowed,Verkoop van goedere Tipe 3 - boerdery-korting toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale of goods Type 4- farming discount allowed,Verkoop van goedere Tipe 4 - boerdery-afslag toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale of goods Type 5- farming discount allowed,Verkoping van goedere Tipe 5 - boerderykorting toegelaat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin and management fees  - discount allowed,Administrasie- en bestuursfooie - afslag toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contract costs that relate to future activity,kontrak kostes wat verband hou met toekomstige aktiwiteit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current non-cash assets pledged as collateral,Huidige nie-kontant bates as borg geplaas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity accounted investment in joint venture ,Gelykstaande belegging in gesamentlike onderneming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on Sale of income statement items,Wins/verlies op die verkoop van inkomstestaatitems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividends received from unlisted investments,Dividende ontvang van ongelyste beleggings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equity accounted investment in joint venture,ekwiteitrekeningbelegging in 'n gesamentlike onderneming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity accounted investment in joint venture,Gelykheidsaandelebelegging in 'n gesamentlike onderneming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale of petroleum and petrochemical products,Verkoop van petroleum- en petrochemiese produkte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividends received in advance or in arrears,Dividende wat vooruit ontvang is of agterstallig is.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Cost of sales type 1 Discount allowed,Ander Koste van verkope tipe 1 Korting toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Cost of sales Type 2 Discount allowed,Ander Koste van verkope Tipe 2 Toegestane Afslag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on sale of Equity accounted Ass,Wins/verlies op verkoop van aandele waarin deelname geboek word.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
will not be reclassified to profit and loss,sal nie herklassifiseer word na wins en verlies nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will not be reclassified to profit and loss,Sal nie herklassifiseer word na wins en verlies nie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 10 (Consumable)(Immature),Biologiese bate 10 (Verbruikbaar)(Onvolwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 11 (Consumable)(Immature),Biologiese bate 11 (Verbruikbaar)(Onvolwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 12 (Consumable)(Immature),Biologiese bate 12 (Verbruikbaar)(Onvolwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 13 (Consumable)(Immature),Biologiese bate 13 (Verbruikbaar)(Onvolwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 14 (Consumable)(Immature),Biolologiese bate 14 (Verbruikbaar)(Onvolwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charges through employee benefit provision,Koste deur werknemer voordelevoorsiening.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividends received from listed investments,Dividende ontvang van genoteerde beleggings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity accounted investments in associates,Gelykstaande beleggings in geassosieerdes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guaranteed residual value less than 1 year,Versekerde residuële waarde minder as 1 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guaranteed residual value more than 1 year,Versekerde residuële waarde van meer as 1 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest received in advance or in arrears,Rentekoerse ontvang in die vooraf of agterstande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans to directors, managers and employees","Lenings aan direkteure, bestuurders en werknemers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on sale of Equity accounted JV,Wins/verlies op die verkoop van 'n gelykwaardig geagte gemeenskaplike onderneming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on sale of Investment Property,Winst/verlies op verkoop van beleggingseiendom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity accounted investment in associate ,Ekwiteit aangereken belegging in 'n geassosieerde onderneming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government grants received (other income),Regeringsbeurse ontvang (ander inkomste),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other bank arrangement classified as cash,Ander bankreëlings geklassifiseer as kontant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on sale Of Right-of-use asset,Winst/verlies op verkoop van reg-van-gebruik bate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unearned finance income more than 5 years,Onverdiende finansiële inkomste vir langer as 5 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 10 (Consumable)(Mature),Biologiese bate 10 (Verbruikbaar)(Volwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 11 (Consumable)(Mature),Biologiese bate 11 (Verganklik)(Volwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 12 (Consumable)(Mature),Biologiese bate 12 (Verbruikbaar)(Volwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 13 (Consumable)(Mature),Biologiese bate 13 (Verbruikbaar)(Volwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 14 (Consumable)(Mature),Biologiese bate 14 (Verbruikbaar)(Volwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction contract progress billings ,Konstruksiekontrak vorderingsfaktuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of sales related to Operating lease,Koste van verkope verband hou met Bedryfsleasings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current portion of long term liabilities,Huidige gedeelte van langtermynskuld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equity accounted investment in associate,gelykheidsbelegging in 'n geaffilieerde maatskappy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
