Type,Valid,CellValue_English,CellFormula_English,CellValue_Afrikaans,CellFormula_Afrikaans,GUID,Sheet,Column
6FFEF4093,2,Statement of Cash Flows,"=""Statement""&IF(Consoli=1,""s"","""")&"" of Cash Flows""",,,6FFEF409,Index,3
7A221CDD3,2,Notes to the ,"=""Notes to the ""&AFS_Name_Annual",,,7A221CDD,Index,3
E155976B3,2,The supplementary information presented does not form part of the  and is unaudited:,"=IF(ReportAudit_Display=1,""The supplementary information presented does not form part of the ""&AFS_Name_Annual&"" and is unaudited:"", ""Supplementary information:"")",,,E155976B,Index,3
6A2AD6EA3,2,Country of Incorporation and Domicile,"=IF(Capitalisation=1,""COUNTRY OF INCORPORATION AND DOMICILE"",""Country of Incorporation and Domicile"")",,,6A2AD6EA,ManInfo,3
AF43B7813,2,Registration Number,"=IF(Capitalisation=1,IF(EntityType=""Sole Proprietor"",""IDENTIFICATION"",""REGISTRATION"")&"" NUMBER"",IF(EntityType=""Sole Proprietor"",""Identification"",""Registration"")&"" Number"")",,,AF43B781,ManInfo,3
C631FF153,2,Registration Date,"=IF(Capitalisation=1,""REGISTRATION DATE"",""Registration Date"")",,,C631FF15,ManInfo,3
CA8687B83,2,Nature of Business and Principal Activities,"=IF(Capitalisation=1,""NATURE OF BUSINESS AND PRINCIPAL ACTIVITIES"",""Nature of Business and Principal Activities"")",,,CA8687B8,ManInfo,3
CA8687B86,2,The maatskapy [INSERT NATURE OF BUSINESS IN CLIENT SETUP].,"=""The ""&GroupEntityCase&IF(LEN(NatureOfBusiness)>0,"" ""&NatureOfBusiness,"" [INSERT NATURE OF BUSINESS IN CLIENT SETUP]"")&"".""",,,CA8687B8,ManInfo,6
5B1202533,2,Registered Office,"=IF(Capitalisation=1,""REGISTERED OFFICE"",""Registered Office"")",,,5B120253,ManInfo,3
D93A43183,2,Business Address,"=IF(Capitalisation=1,""BUSINESS ADDRESS"",""Business Address"")",,,D93A4318,ManInfo,3
E630A3F43,2,Postal Address,"=IF(Capitalisation=1,""POSTAL ADDRESS"",""Postal Address"")",,,E630A3F4,ManInfo,3
2CF77DE43,2,Bankers,"=IF(Capitalisation=1,""BANKERS"",""Bankers"")",,,2CF77DE4,ManInfo,3
FC833B7A3,2,Tax Number,"=IF(Capitalisation=1,""TAX NUMBER"",""Tax Number"")",,,FC833B7A,ManInfo,3
5E3E2D233,2,Value Added Tax Number,"=IF(Capitalisation=1,""VALUE ADDED TAX NUMBER"",""Value Added Tax Number"")",,,5E3E2D23,ManInfo,3
C2DB38DE3,2,PAYE Registration number,"=IF(Capitalisation=1,""PAYE REGISTRATION NUMBER"",""PAYE Registration number"")",,,C2DB38DE,ManInfo,3
B9AE0A413,2,SDL Registration number,"=IF(Capitalisation=1,""SDL REGISTRATION NUMBER"",""SDL Registration number"")",,,B9AE0A41,ManInfo,3
6FE5269C3,2,UIF Registration number,"=IF(Capitalisation=1,""UIF REGISTRATION NUMBER"",""UIF Registration number"")",,,6FE5269C,ManInfo,3
E2C2D5093,2,Level of Assurance,"=IF(Capitalisation=1,""LEVEL OF ASSURANCE"",""Level of Assurance"")",,,E2C2D509,ManInfo,3
E2C2D5096,2,,"=IFERROR(SmartDoc_PISWBPar1,"""")",,,E2C2D509,ManInfo,6
9D6744456,2,,"=IFERROR(SmartDoc_PISWBPar2,"""")",,,9D674445,ManInfo,6
AA0592AA3,2,Public interest score of the maatskapy,"=""Public interest score of the ""&EntityDescriptionCase",,,AA0592AA,ManInfo,3
AA0592AA6,2,,"=IFERROR(SmartDoc_PISWBCalc,"""")",,,AA0592AA,ManInfo,6
2FEA20F76,2,These financial statements have been audited in compliance with the applicable requirements of the Companies Act of South Africa.,"=""These financial statements have been ""&IF(IFERROR(ReportAudit_Display,0)=1,""audited"",IF(IFERROR(ReportReview_Display,0)=1,""reviewed"",IF(IFERROR(ReportOfficer_Display,0)=1,""reported on"",IF(IFERROR(ReportCompilation_Display,0)=1,""compiled"",""compiled""))))&IF(ApplicableAct="""",""."","" in compliance with the applicable requirements of the ""&ApplicableAct&""."")",,,2FEA20F7,ManInfo,6
3C56DD8E6,2,These financial statements have been compiled in compliance with the applicable requirements of the International Standard on Related Services 4410: Engagements to Compile Financial Statements.,"=""These financial statements have been compiled in compliance with the applicable requirements of the International Standard on Related Services 4410: Engagements to Compile Financial Statements.""",,,3C56DD8E,ManInfo,6
5C3F18F46,2,The auditor has performed procedures in accordance with the requirements of the International Standard on Related Services 4400: Engagements to Perform Agreed-upon Procedures. Please refer to the Independent Auditor's Report for further information.,"=""The ""&IF(IFERROR(ReportAudit_Display,0)=1,""auditor"",IF(IFERROR(ReportReview_Display,0)=1,""reviewer"",IF(IFERROR(ReportOfficer_Display,0)=1,""accounting officer"",IF(IFERROR(ReportCompilation_Display,0)=1,""compiler"",""compiler""))))&"" has performed procedures in accordance with the requirements of the International Standard on Related Services 4400: Engagements to Perform Agreed-upon Procedures. Please refer to the ""&IF(IFERROR(ReportAudit_Display,0)=1,ReportAudit_Name,IF(IFERROR(ReportReview_Display,0)=1,ReportReview_Name,IF(IFERROR(ReportOfficer_Display,0)=1,ReportOfficer_Name,IF(IFERROR(ReportCompilation_Display,0)=1,ReportCompilation_Name,ReportCompilation_Name))))&"" for further information.""",,,5C3F18F4,ManInfo,6
D24CBA7F3,2,Chartered Accountants CA(SA),"=IF(Capitalisation=1,IF(FirmType=""Registered Auditor"", IF(ReportingAs1=""We"", ""AUDITORS "", ""AUDITOR ""), UPPER(IF(ReportingAs1=""I"",FirmType,SUBSTITUTE(SUBSTITUTE(FirmType,""Accountant"",""Accountants""),""Auditor"",""Auditors"")))),IF(FirmType=""Registered Auditor"", IF(ReportingAs1=""We"", ""Auditors "", ""Auditor ""),IF(ReportingAs1=""I"",FirmType,SUBSTITUTE(SUBSTITUTE(FirmType,""Accountant"",""Accountants""),""Auditor"",""Auditors""))))",,,D24CBA7F,ManInfo,3
2F4AF66E3,2,Maatskapy Secretary,"=IF(Capitalisation=1,UPPER(EntityDescription)&"" SECRETARY"",EntityDescription&"" Secretary"")",,,2F4AF66E,ManInfo,3
0E42FC5F3,2,Preparer,"=IF(Capitalisation=1,""PREPARER"",""Preparer"")",,,0E42FC5F,ManInfo,3
8DF63C6B6,2,0,"=IF(AND(AdditionalProfessionals="""",AdditionalProfessionalsRole<>""""),""Please insert firm name in client setup for the additional professional"",AdditionalProfessionals)",,,8DF63C6B,ManInfo,6
3BD5F9C43,2,"The direkteur is required by the Companies Act of South Africa to maintain adequate accounting records and is responsible for the content and integrity of the  and related financial information included in this report. It is their responsibility to ensure that the  satisfy the financial reporting standards with regards to form and content and present fairly the statement of financial position, results of operations and business of the maatskapy, and explain the transactions and financial position of the business of the maatskapy at the end of the financial year. The  are based upon appropriate accounting policies consistently applied throughout the maatskapy and supported by reasonable and prudent judgements and estimates.","=""The ""&LOWER(Director_board)&Director_is_are&"" required""&IF(ApplicableAct="""","""","" by the ""&ApplicableAct)&"" to maintain adequate accounting records and""&Director_is_are&"" responsible for the content and integrity of the ""&LOWER(AFS_Name)&"" and related financial information included in this report. It is ""&DGender_their&"" responsibility to ensure that the ""&LOWER(AFS_Name)&"" satisfy the financial reporting standards ""&""with regards to form and content and present fairly the ""&LOWER(GroupAFSPrefix)&""statement of financial position, results of operations and business of the ""&GroupEntityCase&"", and explain the transactions and financial position of the business of the ""&GroupEntityCase&"" at the end of the ""&Finyear_Monthfinperiod &"". The ""&LOWER(AFS_Name)&"" are based upon appropriate accounting policies consistently applied throughout the ""&GroupEntityCase&"" and supported by reasonable and prudent judgements and estimates.""",,,3BD5F9C4,Response,3
1A372B6C3,2,"The direkteur acknowledges that they are ultimately responsible for the system of internal financial control established by the maatskapy and places considerable importance on maintaining a strong control environment. To enable the direkteur to meet these responsibilities, the direkteur sets standards for internal control aimed at reducing the risk of error or loss in a cost effective manner. The standards include the proper delegation of responsibilities within a clearly defined framework, effective accounting procedures and adequate segregation of duties to ensure an acceptable level of risk. These controls are monitored throughout the maatskapy and all employees are required to maintain the highest ethical standards in ensuring the maatskapy se business is conducted in a manner that in all reasonable circumstances is above reproach.","=""The ""&LOWER(Director_board)&Director_acknowledge_s&"" that ""&DGender_they&DGender_is_are&"" ultimately responsible for the system of internal financial control established by the ""&EntityDescriptionCase&"" and""&Director_place_s&"" considerable importance on maintaining a strong control environment. To enable the ""&LOWER(Director_board)&"" to meet these responsibilities, the ""&LOWER(Director_board)&Director_set_s&"" standards for internal control aimed at reducing the risk of error or loss in a cost effective manner. The standards include the ""&""proper delegation of responsibilities within a clearly defined framework, effective accounting procedures and adequate segregation of duties to ensure ""&""an acceptable level of risk. These controls are monitored throughout the ""&GroupEntityCase&"" and all ""&IF(EmployeeReferences=""N"",""office bearers"",""employees"")&"" are required to ""&""maintain the highest ethical standards in ensuring the ""&GroupEntityCaseAp&"" business is conducted in a manner that in all reasonable circumstances is above reproach.""",,,1A372B6C,Response,3
D29B26853,2,"The focus of risk management in the maatskapy is on identifying, assessing, managing and monitoring all known forms of risk across the maatskapy. While operating risk cannot be fully eliminated, the maatskapy endeavours to minimise it by ensuring that appropriate infrastructure, controls, systems and ethical behaviour are applied and managed within predetermined procedures and constraints.","=""The focus of risk management in the ""&IF(EntityDescription=""Sole Proprietor"",""business"",GroupEntityCase)&"" is on identifying, ""&""assessing, managing and monitoring all known forms of risk across the ""&IF(EntityDescription=""Sole Proprietor"",""business"",GroupEntityCase)&"". ""&""While operating risk cannot be fully eliminated, the ""&GroupEntityCase&"" endeavours to minimise it by ensuring that appropriate infrastructure, controls, systems and ethical behaviour are applied and managed within predetermined procedures and constraints.""",,,D29B2685,Response,3
D27902BB3,2,"The direkteur is of the opinion, based on the information and explanations given by management, that the system of internal control provides reasonable assurance that the financial records may be relied on for the preparation of the . However, any system of internal financial control can provide only reasonable, and not absolute, assurance against material misstatement or loss.The going-concern basis has been adopted in preparing the financial statements. Based on forecasts and available cash resources the direkteur has no reason to believe that the maatskapy will not be a going concern in the foreseeable future. The  support the viability of the maatskapy.","=""The ""&LOWER(Director_board)&Director_is_are&"" of the opinion""&IF(ManagementReferences=""Y"","", based on the information and explanations given by management,"","""")&"" that the system of internal control provides reasonable assurance that the financial records may be relied on for the preparation of the ""&LOWER(AFS_Name)&"". However, any system of internal financial ""&""control can provide only reasonable, and not absolute, assurance against material misstatement or loss.""&IF(EntityDescription=""Body Corporate"","""",""The going-concern basis has been adopted in preparing the financial statements. Based on forecasts and available cash resources the ""&LOWER(Director_board)&Director_has_have&"" no reason to believe that the ""&IF(EntityDescription=""Sole Proprietor"",""business"",GroupEntityCase)&"" will not be a going concern in the foreseeable future. The ""&LOWER(AFS_Name)&"" support the viability of the ""&IF(EntityDescription=""Sole Proprietor"",""business"",GroupEntityCase)&""."")",,,D27902BB,Response,3
6EC3B4CE3,2,"The direkteur has reviewed the maatskapy se Sheets not present - please import Budget and Levy Sheets from under Template Tools (Import Sheets from Template) for the year to 28 February 2022 and, in the light of this review and the current financial position, they are satisfied that the maatskapy has or has access to adequate resources to continue in operational existence for the forseeable future.","=""The ""&LOWER(Director_board)&Director_has_have&"" reviewed the ""&EntityDescriptionApCase&"" ""&IFERROR(IF(Budget_Display=1,LOWER(Budget_Name),"""")&CHOOSE(Budget_Display+Levy_Display+1,"""","""","" and "")&IF(Levy_Display=1,LOWER(Levy_Name),"""")&IF(Budget_Display+Levy_Display=0,""[Please display Budget or Levy sheet under Content TAB]"",""""),""Sheets not present - please import Budget and Levy Sheets from under Template Tools (Import Sheets from Template)"")&"" for the ""&Period_Year&"" to ""&TEXT(EOMONTH(YearEndDate,12),""dd mmmm yyyy"")&"" and, in the light of this review and the current financial position, ""&DGender_they&"" are satisfied that the ""&EntityDescriptionCase&"" has or has access to adequate resources to continue in operational existence for the forseeable future.""",,,6EC3B4CE,Response,3
D86C03FD3,2,"The direkteur is aware of the legislation that was introduced by the Sectional Titles Schemes Management Act 2011 (Act No 8 of 2011) on 7 October 2016. This legislation requires that the maatskapy, in terms of section 3(1)(b), establish and maintain a reserve fund in such amounts as are reasonably sufficient to cover the cost of future maintenance and repair of common property, but not less than such amounts as may be prescribed by the Minister.","=""The ""&LOWER(Director_board)&Director_is_are&"" aware of the legislation that was introduced by the Sectional Titles Schemes Management Act 2011 (Act No 8 of 2011) on 7 October 2016. This legislation requires that the ""&EntityDescriptionCase&"", in terms of section 3(1)(b), establish and maintain a reserve fund in such amounts as are reasonably sufficient to cover the cost of future maintenance and repair of common property, but not less than such amounts as may be prescribed by the Minister.""",,,D86C03FD,Response,3
0FF9B71B3,2,,"=IF(AND(IFERROR(ReportAudit_Display,0)=0,IFERROR(ReportReview_Display,0)=0,IFERROR(ReportCompilation_Display,0)=0,IFERROR(ReportOfficer_Display,0)=0),""[This paragraph is not applicable as all the practitioner reports are closed]"","""")",,,0FF9B71B,Response,3
6A929A8F3,2,"The  have been audited by the independent auditing firm, , who has been given unrestricted access to all financial records and related data, including minutes of all meetings of the aandeelhouer, the direkteur and committees of the direkteur. The direkteur believes that all representations made to the independent auditor during the audit were valid and appropriate. The external auditor's PLEASE SELECT AN APPLICABLE REPORT.","=IFERROR(""The ""&LOWER(AFS_Name)&"" have been audited by the independent auditing firm, ""&Auditors&"", who ""&Report_have_has&"" been given unrestricted access to all financial records and related data, including minutes of all meetings of the ""&LOWER(Owner)&"", the ""&LOWER(Director_board)&"" and committees of the ""&LOWER(Director_board)&"". The ""&LOWER(Director_board)&Director_believe_s&"" that all representations made to the independent auditor during the audit were valid and appropriate. The external auditor's ""&IF(AND(IFERROR(AuditReport2013,"""")<>"""",AuditReport2015<>""""),""PLEASE SELECT ONLY ONE REPORT."",IF(AND(IFERROR(AuditReport2013,"""")="""",AuditReport2015="""",AuditReportBlank=""""),""PLEASE SELECT AN APPLICABLE REPORT."",IF(AuditReportBlank<>"""",BlankReportType&"" "",IF(IFERROR(AuditReport2013,"""")<>"""",IF(Disclaimer<>"""",""disclaimed "",IF(Adverse<>"""",""adverse "",IF(Qualification<>"""",""qualified "",""unqualified ""))),IF(DisclaimerNov15<>"""",""disclaimed "",IF(AdverseNov15<>"""",""adverse "",IF(QualifiedNov15<>"""",""qualified "",""unqualified "")))))&""audit report is presented on page""&IF(ISERROR(FIND(""-"",ReportAudit_Pagenumber)),"" ""&ReportAudit_Pagenumber,""s ""&SUBSTITUTE(ReportAudit_Pagenumber,""-"",""to""))&""."")),""FORMULA ERROR DETECTED, PLEASE CONTACT SUPPORT"")",,,6A929A8F,Response,3
9D7C8DF33,2,The independent reviewer is responsible for independently reviewing and reporting on the maatskapy se . The independent reviewers report is presented on page 0.,"=""The independent ""&Report_reviewer_s&"" ""&Report_are_is&"" responsible for independently reviewing and reporting on the ""&EntityDescriptionApCase&"" ""&LOWER(AFS_Name)&"". The independent reviewers report is presented on page""&IF(ISERROR(FIND(""-"",ReportReview_Pagenumber)),"" ""&ReportReview_Pagenumber,""s ""&SUBSTITUTE(ReportReview_Pagenumber,""-"",""to""))&"".""",,,9D7C8DF3,Response,3
E294622B3,2,The compiler is responsible for reporting on the maatskapy se . The compilation report is presented on page 0.,"=""The ""&Report_compiler_s&"" ""&Report_are_is&"" responsible for reporting on the ""&EntityDescriptionApCase&"" ""&LOWER(AFS_Name)&"". The compilation report is presented on page""&IF(ISERROR(FIND(""-"",ReportCompilation_Pagenumber)),"" ""&ReportCompilation_Pagenumber,""s ""&SUBSTITUTE(ReportCompilation_Pagenumber,""-"",""to""))&"".""",,,E294622B,Response,3
9A289AF13,2,The accounting officer is responsible for reporting on the maatskapy se . The accounting officer report is presented on page 0.,"=""The ""&""accounting officer is responsible for reporting on the ""&EntityDescriptionApCase&"" ""&LOWER(AFS_Name)&"". ""&""The accounting officer report is presented on page""&IF(ISERROR(FIND(""-"",ReportOfficer_Pagenumber)),"" ""&ReportOfficer_Pagenumber,""s ""&SUBSTITUTE(ReportOfficer_Pagenumber,""-"",""to""))&"".""",,,9A289AF1,Response,3
1EBC5B9B3,2,"The  set out on pages 0 to 0, and the supplementary information set out on page 0 which have been prepared on the going concern basis, were approved by the direkteur and were signed on 31 March 2021.","=""The ""&LOWER(AFS_Name)&"" set out on pages ""&MIN(IFERROR(VALUE(IF(ISERROR(FIND("" - "",SoFP_Pagenumber)),SoFP_Pagenumber,LEFT(SoFP_Pagenumber,FIND("" - "",SoFP_Pagenumber)-1))),99),IFERROR(VALUE(IF(ISERROR(FIND("" - "",SoCI_Pagenumber)),SoCI_Pagenumber,LEFT(SoCI_Pagenumber,FIND("" - "",SoCI_Pagenumber)-1))),99))&"" to ""&IF(ISERROR(FIND("" - "",Notes_Pagenumber)),Notes_Pagenumber,MID(Notes_Pagenumber,FIND("" - "",Notes_Pagenumber)+3,10))&IF(IFERROR(MAX(Supplementary_Display),0)=1,"", and the supplementary information set out on page""&IF(OtherInfoPageFrom=OtherInfoPageTo,"" ""&OtherInfoPageFrom,""s ""&OtherInfoPageFrom&"" to ""&OtherInfoPageTo),"""")&"" which have been prepared on the going concern basis, were approved by the ""&LOWER(Director_board)&"" and were signed on ""&TEXT(IF(IFERROR(Setting_DateofSignature,""Date"")=""Date"",IFERROR(ApprovalDate,IFERROR(Setting_DateofSignature_Select,DateOfSignature)),IFERROR(Setting_DateofSignature_Select,DateOfSignature)),""d mmmm yyyy"")&Director_signoff_detail",,,1EBC5B9B,Response,3
D98501443,2,The external reviewer is responsible for independently reviewing and reporting on the maatskapy se . The  have been examined by the maatskapy se independent reviewer and the independent reviewer's report is presented on page 0.,"=""The external ""&Report_reviewer_s&"" ""&Report_are_is&"" responsible for independently reviewing and reporting on the ""&GroupEntityCaseAp&"" ""&LOWER(AFS_Name)&"". The ""&LOWER(AFS_Name)&"" have been examined by the ""&GroupEntityCaseAp&"" independent ""&Report_reviewer_compound&"" report is presented on page""&IF(ISERROR(FIND(""-"",ReportReview_Pagenumber)),"" ""&ReportReview_Pagenumber,""s ""&SUBSTITUTE(ReportReview_Pagenumber,""-"",""to""))&"".""",,,D9850144,Response,3
9E455ACA3,2,The external compiler is responsible for independently compiled and reporting on the maatskapy se . The  have been examined by the maatskapy se external compiler and the compiler's report is presented on page 0.,"=""The external ""&Report_compiler_s&"" ""&Report_are_is&"" responsible for independently compiled and reporting on the ""&GroupEntityCaseAp&"" ""&LOWER(AFS_Name)&"". The ""&LOWER(AFS_Name)&"" have been examined by the ""&GroupEntityCaseAp&"" external ""&Report_compiler_compound&"" report is presented on page""&IF(ISERROR(FIND(""-"",ReportCompilation_Pagenumber)),"" ""&ReportCompilation_Pagenumber,""s ""&SUBSTITUTE(ReportCompilation_Pagenumber,""-"",""to""))&"".""",,,9E455ACA,Response,3
0F8F4C9C3,2,The accounting officer is responsible for reporting on the maatskapy se . The  have been examined by the maatskapy se external accounting officer and the accounting officer's report is presented on page 0.,"=""The ""&Report_officer_s&"" ""&Report_are_is&"" responsible for reporting on the ""&GroupEntityCaseAp&"" ""&LOWER(AFS_Name)&"". The ""&LOWER(AFS_Name)&"" have been examined by the ""&GroupEntityCaseAp&"" external ""&Report_officer_compound&"" report is presented on page""&IF(ISERROR(FIND(""-"",ReportOfficer_Pagenumber)),"" ""&ReportOfficer_Pagenumber,""s ""&SUBSTITUTE(ReportOfficer_Pagenumber,""-"",""to""))&"".""",,,0F8F4C9C,Response,3
9B0CD9253,2,To the aandeelhouer of ,"=""To the "" &LOWER(Owner)&"" of ""&CompanyName",,,9B0CD925,Notice,3
CDA875883,2,Notice is hereby given that the annual general meeting of the company will be held at  on 31 March 2021 at 10h00 for the following purposes:,"=""Notice is hereby given that the ""&IF(MONTH(DateOfSignature)-MONTH(YearEndDate)>6, ""adjourned annual general meeting"", ""annual general meeting"")&"" of the company will be held at "" &IF(OR(BusinessAddress1=0,BusinessAddress1=""""),"""",BusinessAddress1)&IF(OR(BusinessAddress2=0,BusinessAddress2=""""),"""",IF(OR(BusinessAddress1=0,BusinessAddress1=""""),BusinessAddress2,"", ""&BusinessAddress2))&IF(OR(BusinessAddress3=0,BusinessAddress3=""""),"""",IF(AND(OR(BusinessAddress1=0,BusinessAddress1=""""),OR(BusinessAddress2=0,BusinessAddress2="""")),BusinessAddress3,"", ""&BusinessAddress3))&IF(OR(BusinessAddress4=0,BusinessAddress4=""""),"""",IF(AND(OR(BusinessAddress1=0,BusinessAddress1=""""),OR(BusinessAddress2=0,BusinessAddress2=""""),OR(BusinessAddress3=0,BusinessAddress3="""")),BusinessAddress4,"", ""&BusinessAddress4))&"" on "" &TEXT(AGMDate,""d mmmm yyyy"") &"" at 10h00 for the following purposes:""",,,CDA87588,Notice,3
D0F6215B3,2,Consideration of the .,"=""Consideration of the ""&LOWER(AFS_Name)&"".""",,,D0F6215B,Notice,3
2B8C27AD3,2,The election of the direkteur.,"=""The election of ""&Director_the&LOWER(Director)&"".""",,,2B8C27AD,Notice,3
CCDAB2623,2,The appointment of auditors.,"=""The appointment of ""&IF(FirmType=""Accountant"", ""an independent accountant"", ""auditors"")&"".""",,,CCDAB262,Notice,3
5D6AEAE23,2,The sanctioning of dividends.,"=""The sanctioning of dividends.""",,,5D6AEAE2,Notice,3
EB6798413,2,Approval of the direkteur se remuneration.,"=""Approval of ""&Director_the&LOWER(Director_Ap)&"" remuneration.""",,,EB679841,Notice,3
3B098BB83,2,To grant the direkteur the power to issue and allot any unissued shares of the maatskapy at their discretion.,"=""To grant the ""&LOWER(Director_board)&"" the power to issue and allot any unissued shares of the ""&EntityDescriptionCase&"" at their discretion.""",,,3B098BB8,Notice,3
BD56487B3,2,To discuss any other matter that may be brought up at the annual general meeting.,"=""To discuss any other matter that may be brought up at the annual general meeting.""",,,BD56487B,Notice,3
7E2A5FD74,2,for ,"=""for "" &(Secretaries)",,,7E2A5FD7,Notice,4
